facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00860,601,52.4,-114.34,1,4,2,120,5,30,120,5826.736976486401,0,11,False,,,15,11,55,6,False,1,0,0,0.35470941883767537,0.7849272425815588
ABRAND01028,601,56.12,-113.37,1,4,2,120,5,30,120,4366.188070992001,0,11,False,,,8,13,54,6,False,1,0,0,0.35671342685370744,0.7861757730615629
ABRAND01064,601,56.1,-112.75,1,4,2,120,5,30,120,6497.5797171072,0,9,False,,,8,14,54,6,False,1,0,0,0.3587174348697395,0.7874228123345235
ABRAND01033,621,56.26,-113.24,1,4,2,120,5,30,120,6312.241667404801,0,12,False,,,7,14,54,6,False,1,0,1,0.36072144288577157,0.7886698098804809
ABRAND01050,601,56.17,-112.93,1,4,2,120,5,30,120,2650.5461045664006,1,9,False,,,8,14,54,6,False,1,0,0,0.3627254509018036,0.7899070270518216
ABRAND01046,601,56.22,-113,1,4,2,120,5,30,120,223967.19834181442,0,15,False,,,8,14,54,6,False,1,0,0,0.36472945891783565,0.7911358767406032
ABRAND01027,601,56.22,-113.41,1,4,2,120,5,30,120,9543.5674559424,0,16,False,,,8,13,54,6,False,1,0,0,0.3667334669338677,0.7923642378624273
ABRAND01045,601,56.05,-113.03,1,4,2,120,5,30,120,16600.6874145024,1,16,False,,,8,14,54,6,False,1,3,0,0.3687374749498998,0.7935823768822959
ABRAND01024,601,56.19,-113.48,1,4,2,120,5,30,120,3174.7801255487993,0,12,False,,,8,13,54,6,False,1,0,0,0.37074148296593185,0.7947935239046329
ABRAND01112,344,55.76,-110.97,1,4,2,120,5,30,120,5177.8794614112,0,12,False,,,8,18,54,6,False,1,0,0,0.3727454909819639,0.7960028884970828
ABRAND00424,601,53.82,-115.91,1,4,2,120,5,30,120,2452.3612995168,0,7,False,,,12,8,53,6,False,1,0,0,0.374749498997996,0.7972023882686589
ABRAND01160,601,55.02,-110.45,1,4,2,120,5,30,120,15723.1469283264,0,13,False,,,10,19,53,6,False,1,0,0,0.37675350701402804,0.798397383938401
ABRAND01131,361,55.1,-110.73,1,4,2,120,5,30,120,24049.229639068802,0,12,False,,,10,19,53,6,False,1,0,0,0.3787575150300601,0.7995905898911697
ABRAND01143,601,55.13,-110.62,1,4,2,120,5,30,120,11775.818905660803,0,15,False,,,10,19,53,6,False,1,0,0,0.3807615230460922,0.8007824342651899
ABRAND01146,506,54.99,-110.59,1,4,2,120,5,30,120,25426.039259433604,1,10,False,,,10,19,53,6,False,1,0,1,0.38276553106212424,0.8019710584690403
ABRAND01145,601,55.15,-110.6,1,4,2,120,5,30,120,7196.188367808001,0,13,False,,,10,19,53,6,False,1,0,1,0.3847695390781563,0.8031525665027244
ABRAND01151,344,55.09,-110.53,1,4,2,120,5,30,120,33667.5148687584,0,10,False,,,10,19,53,6,False,1,0,0,0.3867735470941884,0.8043213703459604
ABRAND01153,601,54.87,-110.51,1,4,2,120,5,30,120,12841.354080403202,1,12,False,,,10,19,53,6,False,1,1,0,0.38877755511022044,0.8054857308461044
ABRAND00085,601,57.51,-119.55,1,4,2,120,5,30,120,32847.3861189984,1,13,False,,,5,1,52,6,False,1,0,0,0.3907815631262525,0.8066492032739112
ABRAND00077,601,57.41,-119.56,1,4,2,120,5,30,120,39055.16627706241,0,16,False,,,5,1,52,6,False,1,0,0,0.3927855711422846,0.8078108273739024
ABRAND00011,601,57.57,-119.91,1,4,2,120,5,30,120,999.6362603136001,1,7,False,,,5,0,52,6,False,1,1,0,0.39478957915831664,0.8089646987224703
ABRAND00016,601,57.3,-119.9,1,4,2,120,5,30,120,3693.4911655488,0,11,False,,,5,0,52,6,False,1,0,0,0.3967935871743487,0.8101158207600705
ABRAND00303,601,54.11,-116.81,1,4,2,120,5,30,120,56779.61512515841,1,21,False,,,12,6,52,6,False,1,0,4,0.39879759519038077,0.8112620580724909
ABRAND00557,351,53.82,-115.53,1,4,2,120,5,30,120,25150.9904663616,0,20,False,,,12,9,52,6,False,1,0,5,0.40080160320641284,0.8123972239525865
ABRAND00634,621,53.33,-115.2,1,4,2,120,5,30,120,7969.533676185601,0,10,False,,,13,10,52,6,False,1,0,0,0.4028056112224449,0.8135317807341736
